provinsi,tanggal,hotel__ratio,flight__ratio,train__ratio,bus__ratio,ship__ratio,holiday_ratio,recreation_ratio,destination_ratio
ACEH,2024-04-01,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5151514921946744e-08,1.5384615147929e-08,1.5384615147929e-08,1.5384615147929e-08,1.5384615147929e-08
ACEH,2024-05-01,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08,1.3333333155555556e-08
ACEH,2024-06-01,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08,1.3698629949333836e-08
ACEH,2024-07-01,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2499999843750002e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08,1.2658227687870536e-08
ACEH,2024-08-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08
ACEH,2024-09-01,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08
ACEH,2024-10-01,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08,1.1494252741445371e-08
ACEH,2024-11-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08
ACEH,2024-12-01,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08,1.1363636234504132e-08
ACEH,2025-01-01,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08,1.0638297759167044e-08
